S.No.,Name of the District,No and Name of the AC,Deceased,Shifted/ Absent,Enrolled at multiple places,Total
1,Thiruvallur,1-Gummidipoondi,14901,25940,1601,42442
1,Thiruvallur,2-Ponneri,10381,20052,2280,32713
1,Thiruvallur,3-Tiruttani,9838,19277,1462,30577
1,Thiruvallur,4-Thiruvallur,12207,21247,1511,34965
1,Thiruvallur,5-Poonamallee,18719,25628,2518,46865
1,Thiruvallur,6-Avadi,16514,48489,3041,68044
1,Thiruvallur,7-Maduravoyal,11971,103876,1521,117368
1,Thiruvallur,8-Ambattur,10121,58237,1484,69842
1,Thiruvallur,9-Madavaram,20024,86319,3156,109499
1,Thiruvallur,10-Thiruvottiyur,10544,55055,1863,67462
1,Thiruvallur,Total,135220,464120,20437,619777
2,Chennai,11-Dr.Radhakrish Nagar,7000,48961,955,56916
2,Chennai,12-Perambur,12247,83761,1337,97345
2,Chennai,13-Kolathur,12994,89251,1567,103812
2,Chennai,14-Villivakkam,8073,88838,849,97760
2,Chennai,15-Thiru-Vi-Ka-Nagar,9314,47860,1869,59043
2,Chennai,16-Egmore,10123,63646,1089,74858
2,Chennai,17-Royapuram,10415,39918,1378,51711
2,Chennai,18-Harbour,7857,60258,1709,69824
2,Chennai,19-Chepauk-Thiruvallikeni,11562,76449,1230,89241
2,Chennai,20-Thousand Lights,10441,85235,1305,96981
2,Chennai,21-Anna Nagar,8819,108829,639,118287
2,Chennai,22-Virugampakkam,8029,101429,1366,110824
2,Chennai,23-Saidapet,11976,74443,809,87228
2,Chennai,24-Thiyagarayanagar,9346,85745,908,95999
2,Chennai,25-Mylapore,4930,82479,259,87668
2,Chennai,26-Velachery,13429,112589,1503,127521
2,Chennai,Total,156555,1249691,18772,1425018
3,Kancheepuram,28-Alandur,14043,114818,3198,132059
3,Kancheepuram,29-Sriperumbudur,14864,37086,2768,54718
3,Kancheepuram,36-Uthiramerur,12925,22578,2012,37515
3,Kancheepuram,37-Kancheepuram,15826,31415,2741,49982
3,Kancheepuram,Total,57658,205897,10719,274274
4,Vellore,40-Katpadi,7354,27085,1227,35666
4,Vellore,43-Vellore,7114,46483,968,54565
4,Vellore,44-Anaikattu,10969,23665,2022,36656
4,Vellore,45-Kilvaithikuppam,11440,16408,1593,29441
4,Vellore,46-Gudiyattam,11428,43024,4245,58697
4,Vellore,Total,48305,156665,10055,215025
5,Krishnagiri,51-Uthangarai,10499,10617,1641,22757
5,Krishnagiri,52-Bargur,10627,13133,1988,25748
5,Krishnagiri,53-Krishnagiri,11886,12469,1106,25461
5,Krishnagiri,54-Veppanahalli,13800,13185,1638,28623
5,Krishnagiri,55-Hosur,12290,29220,2136,43646
5,Krishnagiri,56-Thalli,12843,13328,2143,28314
5,Krishnagiri,Total,71945,91952,10652,174549
6,Dharmapuri,57-Palacodu,4676,8978,1125,14779
6,Dharmapuri,58-Pennagaram,3717,9583,998,14298
6,Dharmapuri,59-Dharmapuri,5874,14689,1340,21903
6,Dharmapuri,60-Pappireddipatti,4368,9432,1715,15515
6,Dharmapuri,61-Harur,5834,7461,1725,15020
6,Dharmapuri,Total,24469,50143,6903,81515
7,Tiruvannamalai,62-Chengam,11304,14638,1858,27800
7,Tiruvannamalai,63-Tiruvannamalai,10520,30077,1611,42208
7,Tiruvannamalai,64-Kilpennathur,9946,16034,1030,27010
7,Tiruvannamalai,65-Kalasapakkam,9341,12973,1340,23654
7,Tiruvannamalai,66-Polur,7804,10992,992,19788
7,Tiruvannamalai,67-Arani,16530,18605,1780,36915
7,Tiruvannamalai,68-Cheyyar,13365,18843,770,32978
7,Tiruvannamalai,69-Vandavasi,16940,23723,1146,41809
7,Tiruvannamalai,Total,95750,145885,10527,252162
8,Viluppuram,70-Gingee,8997,15552,1153,25702
8,Viluppuram,71-Mailam,7809,8527,689,17025
8,Viluppuram,72-Tindivanam,9941,13279,962,24182
8,Viluppuram,73-Vanur,10176,20129,1122,31427
8,Viluppuram,74-Viluppuram,9990,20051,1194,31235
8,Viluppuram,75-Vikravandi,8949,11450,1517,21916
8,Viluppuram,76-Tirukkoyilur,11320,18697,1361,31378
8,Viluppuram,Total,67182,107685,7998,182865
9,Salem,81-Gangavalli,9609,11206,1756,22571
9,Salem,82-Attur,8638,14908,1541,25087
9,Salem,83-Yercaud,8832,13378,1708,23918
9,Salem,84-Omalur,8625,10524,1748,20897
9,Salem,85-Mettur,9522,24327,2684,36533
9,Salem,86-Edappadi,9323,14950,2102,26375
9,Salem,87-Sankari,8573,14036,1426,24035
9,Salem,88-Salem (West),13515,48521,2915,64951
9,Salem,89-Salem (North),9510,38177,1861,49548
9,Salem,90-Salem (South),6142,35644,1052,42838
9,Salem,91-Veerapandi,8685,15613,1378,25676
9,Salem,Total,100974,241284,20171,362429
10,Namakkal,92-Rasipuram,7169,12504,1330,21003
10,Namakkal,93-Senthamangalam,10882,15489,1955,28326
10,Namakkal,94-Namakkal,12040,22541,1549,36130
10,Namakkal,95-Paramathi-Velur,9248,13302,1220,23770
10,Namakkal,96-Tiruchengodu,11018,19853,1040,31911
10,Namakkal,97-Kumarapalayam,15955,35069,1542,52566
10,Namakkal,Total,66312,118758,8636,193706
11,Erode,98-Erode (East),11676,51012,1558,64246
11,Erode,99-Erode (West),15100,56569,1872,73541
11,Erode,100-Modakkurichi,9596,20149,1465,31210
11,Erode,103-Perundurai,14563,19116,1440,35119
11,Erode,104-Bhavani,10469,17941,1802,30212
11,Erode,105-Anthiyur,11833,11240,1759,24832
11,Erode,106-Gobichettipalayam,10512,14949,1102,26563
11,Erode,107-Bhavanisagar,14203,23320,2183,39706
11,Erode,Total,97952,214296,13181,325429
12,The Nilgiris,108-Udhagamandalam,5721,10513,1242,17476
12,The Nilgiris,109-Gudalur,6450,11696,835,18981
12,The Nilgiris,110-Coonoor,6804,11615,1215,19634
12,The Nilgiris,Total,18975,33824,3292,56091
13,Coimbatore,111-Mettuppalayam,13818,28056,2038,43912
13,Coimbatore,116-Sulur,10624,32492,2215,45331
13,Coimbatore,117-Kavundampalayam,13864,106557,3550,123971
13,Coimbatore,118-Coimbatore (North),14543,55234,2143,71920
13,Coimbatore,119-Thondamuthur,9490,63626,3275,76391
13,Coimbatore,120-Coimbatore (South),10208,54140,1892,66240
13,Coimbatore,121-Singanallur,16628,68171,2145,86944
