_id,District No.,District Name,AC No.,Name of Assembly Constituency,Male,Female,Third Gender,Total
1,1,Thiruvallur,1,Gummidipoondi,118205,124318,35,242558
2,1,Thiruvallur,2,Ponneri,116890,122218,33,239141
3,1,Thiruvallur,3,Tiruttani,125051,127078,25,252154
4,1,Thiruvallur,4,Thiruvallur,116790,121992,36,238818
5,1,Thiruvallur,5,Poonamallee,169692,178276,66,348034
6,1,Thiruvallur,6,Avadi,197440,205180,73,402693
7,1,Thiruvallur,7,Maduravoyal,161081,164247,79,325407
8,1,Thiruvallur,8,Ambattur,150048,154407,56,304511
9,1,Thiruvallur,9,Madavaram,189537,196703,87,386327
10,1,Thiruvallur,10,Thiruvottiyur,108809,113887,110,222806
11,2,Chennai,11,Dr.Radhakrishnan Nagar,85239,93050,67,178356
12,2,Chennai,12,Perambur,97357,102758,66,200181
13,2,Chennai,13,Kolathur,90098,96709,34,186841
14,2,Chennai,14,Villivakkam,69071,73603,32,142706
15,2,Chennai,15,Thiru-Vi-Ka-Nagar,79094,85385,49,164528
16,2,Chennai,16,Egmore,59866,62699,42,122607
17,2,Chennai,17,Royapuram,71114,75698,53,146865
18,2,Chennai,18,Harbour,55182,55280,55,110517
19,2,Chennai,19,Chepauk-Thiruvallikeni,73260,77543,43,150846
20,2,Chennai,20,Thousand Lights,67566,73768,59,141393
21,2,Chennai,21,Anna Nagar,78287,83802,46,162135
22,2,Chennai,22,Virugampakkam,84945,90130,48,175123
23,2,Chennai,23,Saidapet,90335,96098,56,186489
24,2,Chennai,24,Thiyagarayanagar,67420,72050,28,139498
25,2,Chennai,25,Mylapore,86901,94669,22,181592
26,2,Chennai,26,Velachery,91955,98001,43,189999
27,3,Kancheepuram,28,Alandur,130058,137178,35,267271
28,3,Kancheepuram,29,Sriperumbudur,172246,183010,60,355316
29,3,Kancheepuram,36,Uthiramerur,115401,121569,54,237024
30,3,Kancheepuram,37,Kancheepuram,129688,137589,36,267313
31,4,Vellore,40,Katpadi,104348,111371,32,215751
32,4,Vellore,43,Vellore,95706,102974,42,198722
33,4,Vellore,44,Anaikattu,110598,117011,36,227645
34,4,Vellore,45,Kilvaithinankuppam,101663,105711,8,207382
35,4,Vellore,46,Gudiyattam,116304,122169,32,238505
36,5,Krishnagiri,51,Uthangarai,114678,113871,45,228594
37,5,Krishnagiri,52,Bargur,114187,116415,15,230617
38,5,Krishnagiri,53,Krishnagiri,126308,131135,58,257501
39,5,Krishnagiri,54,Veppanahalli,120108,116637,35,236780
40,5,Krishnagiri,55,Hosur,162777,161941,73,324791
41,5,Krishnagiri,56,Thalli,116098,111659,37,227794
42,6,Dharmapuri,57,Palacodu,116722,114057,18,230797
43,6,Dharmapuri,58,Pennagaram,123658,115827,7,239492
44,6,Dharmapuri,59,Dharmapuri,125364,123361,77,248802
45,6,Dharmapuri,60,Pappireddipatti,124314,123249,14,247577
46,6,Dharmapuri,61,Harur,118570,118659,20,237249
47,7,Tiruvannamalai,62,Chengam,129302,130291,11,259604
48,7,Tiruvannamalai,63,Tiruvannamalai,115932,123005,33,238970
49,7,Tiruvannamalai,64,Kilpennathur,115436,118080,13,233529
50,7,Tiruvannamalai,65,Kalasapakkam,111572,113454,13,225039
51,7,Tiruvannamalai,66,Polur,111902,115268,8,227178
52,7,Tiruvannamalai,67,Arani,120331,125843,34,246208
53,7,Tiruvannamalai,68,Cheyyar,114598,118113,9,232720
54,7,Tiruvannamalai,69,Vandavasi,102264,104225,3,206492
55,8,Viluppuram,70,Gingee,116444,118448,28,234920
56,8,Viluppuram,71,Mailam,101237,101270,21,202528
57,8,Viluppuram,72,Tindivanam,104327,107755,15,212097
58,8,Viluppuram,73,Vanur,99964,103703,16,203683
59,8,Viluppuram,74,Viluppuram,114742,120270,71,235083
60,8,Viluppuram,75,Vikravandi,109977,112791,28,222796
61,8,Viluppuram,76,Tirukkoyilur,117686,115805,27,233518
62,9,Salem,81,Gangavalli,103325,108251,7,211583
63,9,Salem,82,Attur,107273,113273,22,220568
64,9,Salem,83,Yercaud,129442,134265,17,263724
65,9,Salem,84,Omalur,145669,139544,20,285233
66,9,Salem,85,Mettur,124277,121303,16,245596
67,9,Salem,86,Edappadi,135654,131693,27,267374
68,9,Salem,87,Sankari,127361,124481,24,251866
69,9,Salem,88,Salem (West),121763,122117,61,243941
70,9,Salem,89,Salem (North),109441,114936,46,224423
71,9,Salem,90,Salem (South),104818,108462,48,213328
72,9,Salem,91,Veerapandi,121094,119363,15,240472
73,10,Namakkal,92,Rasipuram,105133,109679,13,214825
74,10,Namakkal,93,Senthamangalam,108180,112843,28,221051
75,10,Namakkal,94,Namakkal,109704,118181,37,227922
76,10,Namakkal,95,Paramathi-Velur,95509,103344,9,198862
77,10,Namakkal,96,Tiruchengodu,97570,103336,41,200947
78,10,Namakkal,97,Kumarapalayam,101173,108107,67,209347
79,11,Erode,98,Erode (East),79223,86251,36,165510
80,11,Erode,99,Erode (West),111297,119388,38,230723
81,11,Erode,100,Modakkurichi,95302,103618,12,198932
82,11,Erode,103,Perundurai,98652,106328,5,204985
83,11,Erode,104,Bhavani,104982,109272,18,214272
84,11,Erode,105,Anthiyur,97319,101942,24,199285
85,11,Erode,106,Gobichettipalayam,110460,120692,12,231164
86,11,Erode,107,Bhavanisagar,109679,117191,19,226889
87,12,The Nilgiris,108,Udhagamandalam,86944,95670,10,182624
88,12,The Nilgiris,109,Gudalur,86289,91508,3,177800
89,12,The Nilgiris,110,Coonoor,81526,91121,5,172652
90,13,Coimbatore,111,Mettuppalayam,128591,141272,35,269898
91,13,Coimbatore,116,Sulur,141306,152112,98,293516
92,13,Coimbatore,117,Kavundampalayam,184213,193416,111,377740
93,13,Coimbatore,118,Coimbatore (North),137248,141257,26,278531
94,13,Coimbatore,119,Thondamuthur,132122,140712,112,272946
95,13,Coimbatore,120,Coimbatore (South),86755,92521,32,179308
96,13,Coimbatore,121,Singanallur,123287,131111,24,254422
97,13,Coimbatore,122,Kinathukadavu,136660,146930,31,283621
98,13,Coimbatore,123,Pollachi,93557,102784,34,196375
99,13,Coimbatore,124,Valparai,79543,88692,16,168251
100,14,Dindigul,127,Palani,111081,115960,49,227090
101,14,Dindigul,128,Oddanchatram,100926,108228,2,209156
102,14,Dindigul,129,Athoor,120832,129572,19,250423
103,14,Dindigul,130,Nilakkottai,104032,107740,16,211788
104,14,Dindigul,131,Natham,122611,126352,60,249023
105,14,Dindigul,132,Dindigul,110464,117741,18,228223
106,14,Dindigul,133,Vedasandur,114521,119328,1,233850
107,15,Karur,134,Aravakurichi,90490,99203,4,189697
108,15,Karur,135,Karur,102226,114512,39,216777
109,15,Karur,136,Krishnarayapuram,95893,100826,32,196751
110,15,Karur,137,Kulithalai,105435,110005,7,215447
111,16,Tiruchirappalli,138,Manapparai,126996,129669,9,256674
112,16,Tiruchirappalli,139,Srirangam,132024,139470,45,271539
113,16,Tiruchirappalli,140,Tiruchirappalli (West),106214,114540,35,220789
114,16,Tiruchirappalli,141,Tiruchirappalli (East),98339,105166,50,203555
115,16,Tiruchirappalli,142,Thiruverumbur,118242,125008,54,243304
